solar_reward,grid_reward,soc,curr_lmp,net_load,a,total_rwd
0.00,-1064.79,25.00,41.20,-24.98,2,-1.06e+03
0.00,-1029.07,50.00,39.92,-24.98,2,-2.09e+03
0.00,-997.10,75.00,38.86,-24.98,2,-3.09e+03
0.00,-970.63,100.00,41.83,-24.98,2,-4.06e+03
0.00,-1032.90,125.00,41.82,-24.69,2,-5.09e+03
0.00,-1032.65,150.00,41.67,-24.69,2,-6.13e+03
0.00,-1028.94,175.00,40.79,-24.69,2,-7.16e+03
0.00,-1007.22,200.00,41.73,-24.69,2,-8.16e+03
0.00,-747.20,225.00,41.71,-17.91,2,-8.91e+03
0.00,-746.85,250.00,41.63,-17.91,2,-9.66e+03
0.00,-745.41,275.00,40.72,-17.91,2,-1.04e+04
0.00,-729.12,300.00,40.92,-17.91,2,-1.11e+04
0.00,-421.38,325.00,41.13,-10.30,2,-1.16e+04
0.00,-423.54,350.00,41.63,-10.30,2,-1.20e+04
0.00,-428.69,375.00,42.20,-10.30,2,-1.24e+04
0.00,-434.56,400.00,42.78,-10.30,2,-1.28e+04
694.23,-0.00,400.00,44.11,32.46,2,-1.21e+04
715.81,-0.00,400.00,47.23,32.46,2,-1.14e+04
766.44,-0.00,400.00,53.54,32.46,2,-1.07e+04
868.84,-0.00,400.00,50.27,32.46,2,-9.79e+03
846.36,-0.00,400.00,53.03,33.67,2,-8.95e+03
892.83,-0.00,400.00,50.60,33.67,2,-8.06e+03
851.92,-0.00,400.00,45.19,33.67,2,-7.20e+03
760.84,-0.00,400.00,42.46,33.67,2,-6.44e+03
719.23,-0.00,400.00,42.84,33.88,2,-5.72e+03
725.67,-0.00,400.00,41.31,33.88,2,-5.00e+03
699.75,-0.00,400.00,40.76,33.88,2,-4.30e+03
690.43,-0.00,400.00,36.40,33.88,2,-3.61e+03
620.04,-0.00,400.00,49.60,34.07,2,-2.99e+03
844.89,-0.00,400.00,42.34,34.07,2,-2.14e+03
721.22,-0.00,400.00,52.24,34.07,2,-1.42e+03
889.86,-0.00,400.00,40.19,34.07,2,-5.32e+02
683.40,-0.00,400.00,40.46,34.01,2,1.52e+02
687.99,-0.00,400.00,39.73,34.01,2,8.40e+02
675.58,-0.00,400.00,30.88,34.01,2,1.52e+03
525.09,-0.00,400.00,28.60,34.01,2,2.04e+03
481.08,-0.00,400.00,31.72,33.64,2,2.52e+03
533.56,-0.00,400.00,27.69,33.64,2,3.06e+03
465.77,-0.00,400.00,29.59,33.64,2,3.52e+03
497.73,-0.00,400.00,26.88,33.64,2,4.02e+03
424.33,-0.00,400.00,36.67,31.57,2,4.44e+03
578.87,-0.00,400.00,39.38,31.57,2,5.02e+03
621.65,-0.00,400.00,44.99,31.57,2,5.64e+03
710.21,-0.00,400.00,37.51,31.57,2,6.35e+03
589.83,-0.00,400.00,41.76,31.45,2,6.94e+03
656.66,-0.00,400.00,49.48,31.45,2,7.60e+03
778.05,-0.00,400.00,47.44,31.45,2,8.38e+03
745.97,-0.00,400.00,43.15,31.45,2,9.12e+03
611.36,-0.00,400.00,45.72,28.34,2,9.74e+03
647.77,-0.00,400.00,49.54,28.34,2,1.04e+04
701.90,-0.00,400.00,51.42,28.34,2,1.11e+04
728.53,-0.00,400.00,44.80,28.34,2,1.18e+04
352.86,-0.00,400.00,48.16,15.75,2,1.22e+04
379.33,-0.00,400.00,51.58,15.75,2,1.25e+04
406.26,-0.00,400.00,50.86,15.75,2,1.30e+04
400.59,-0.00,400.00,52.98,15.75,2,1.34e+04
37.15,-0.00,400.00,68.54,1.40,2,1.34e+04
48.06,-0.00,400.00,96.27,1.40,2,1.34e+04
67.50,-0.00,400.00,94.91,1.40,1,1.35e+04
66.55,-0.00,400.00,67.77,1.40,1,1.36e+04
0.00,-0.00,400.00,87.30,0.00,2,1.36e+04
0.00,-0.00,400.00,87.30,0.00,1,1.36e+04
0.00,-0.00,400.00,87.30,0.00,1,1.36e+04
0.00,-0.00,400.00,64.08,0.00,1,1.36e+04
