solar_reward,grid_battery_reward,solar_battery_reward,soc,soc_grid,soc_solar,curr_lmp,net_load,a,total_rwd
0.00,0.00,0.00,0.00,0.00,0.00,45.14,0.00,0,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,44.15,0.00,0,0.00e+00
0.00,0.00,0.00,0.00,0.00,0.00,33.45,0.00,0,0.00e+00
0.00,-836.25,0.00,23.25,23.25,0.00,45.23,-25.00,2,-8.36e+02
0.00,-1130.75,0.00,46.50,46.50,0.00,45.25,-25.00,2,-1.97e+03
0.00,-1131.25,0.00,69.75,69.75,0.00,44.99,-25.00,2,-3.10e+03
0.00,-1124.75,0.00,93.00,93.00,0.00,34.29,-25.00,2,-4.22e+03
0.00,-857.25,0.00,116.25,116.25,0.00,44.44,-25.00,2,-5.08e+03
0.00,-1111.00,0.00,139.50,139.50,0.00,41.59,-25.00,2,-6.19e+03
0.00,-1039.75,0.00,162.75,162.75,0.00,43.93,-25.00,2,-7.23e+03
0.00,1021.37,0.00,137.75,137.75,0.00,38.38,23.25,0,-6.21e+03
0.00,-959.50,0.00,161.00,161.00,0.00,40.06,-25.00,2,-7.17e+03
0.00,931.40,0.00,136.00,136.00,0.00,46.71,23.25,0,-6.24e+03
0.00,-1167.75,0.00,159.25,159.25,0.00,50.51,-25.00,2,-7.41e+03
0.00,-1262.75,0.00,182.50,182.50,0.00,51.97,-25.00,2,-8.67e+03
0.00,-1299.25,0.00,205.75,205.75,0.00,45.92,-25.00,2,-9.97e+03
0.00,-1148.00,0.00,229.00,229.00,0.00,61.02,-25.00,2,-1.11e+04
0.00,-1525.50,0.00,252.25,252.25,0.00,70.74,-25.00,2,-1.26e+04
0.00,0.00,0.00,252.25,252.25,0.00,70.65,0.00,1,-1.26e+04
0.00,0.00,0.00,252.25,252.25,0.00,74.36,0.00,1,-1.26e+04
0.29,0.00,0.00,252.25,252.25,0.00,76.27,0.01,1,-1.26e+04
0.30,1773.28,0.00,227.25,227.25,0.00,85.83,23.26,0,-1.09e+04
0.33,1995.55,0.00,202.25,202.25,0.00,77.71,23.26,0,-8.87e+03
0.30,1806.76,0.00,177.25,177.25,0.00,83.68,23.26,0,-7.06e+03
122.74,1945.56,0.00,152.25,152.25,0.00,76.87,26.18,0,-5.00e+03
112.75,1787.23,0.00,127.25,127.25,0.00,55.29,26.18,0,-3.10e+03
81.10,1285.49,0.00,102.25,102.25,0.00,31.71,26.18,0,-1.73e+03
