soc,lmp,a,total_rwd
50.00,756.07,2,0.00e+00
100.00,787.00,2,0.00e+00
150.00,817.67,2,0.00e+00
200.00,847.94,2,0.00e+00
250.00,877.68,2,0.00e+00
300.00,906.77,2,0.00e+00
350.00,935.09,2,0.00e+00
400.00,962.50,2,0.00e+00
350.00,988.90,0,1.19e+04
400.00,1014.16,2,1.19e+04
350.00,1038.19,0,2.48e+04
400.00,1060.88,2,2.48e+04
350.00,1082.12,0,3.85e+04
400.00,1101.84,2,3.85e+04
350.00,1119.95,0,5.27e+04
400.00,1136.36,2,5.27e+04
350.00,1151.01,0,6.71e+04
400.00,1163.84,2,6.71e+04
350.00,1174.79,0,8.14e+04
400.00,1183.81,2,8.14e+04
350.00,1190.87,0,9.53e+04
400.00,1195.94,2,9.53e+04
350.00,1198.98,0,1.08e+05
400.00,1200.00,2,1.08e+05
350.00,1198.98,0,1.19e+05
400.00,1195.94,2,1.19e+05
400.00,1190.87,2,1.19e+05
400.00,1183.81,2,1.19e+05
350.00,1174.79,0,1.26e+05
400.00,1163.84,2,1.26e+05
350.00,1151.01,0,1.30e+05
400.00,1136.36,2,1.30e+05
400.00,1119.95,2,1.30e+05
400.00,1101.84,2,1.30e+05
400.00,1082.12,2,1.30e+05
400.00,1060.88,2,1.30e+05
400.00,1038.19,2,1.30e+05
400.00,1014.16,2,1.30e+05
400.00,988.90,2,1.30e+05
400.00,962.50,2,1.30e+05
400.00,935.09,2,1.30e+05
400.00,906.77,2,1.30e+05
400.00,877.68,2,1.30e+05
400.00,847.94,2,1.30e+05
400.00,817.67,1,1.30e+05
400.00,787.00,1,1.30e+05
400.00,756.07,1,1.30e+05
400.00,725.00,1,1.30e+05
400.00,693.93,1,1.30e+05
400.00,663.00,1,1.30e+05
400.00,632.33,1,1.30e+05
400.00,602.06,1,1.30e+05
400.00,572.32,1,1.30e+05
400.00,543.23,1,1.30e+05
400.00,514.91,1,1.30e+05
400.00,487.50,1,1.30e+05
400.00,461.10,1,1.30e+05
400.00,435.84,1,1.30e+05
400.00,411.81,1,1.30e+05
400.00,389.12,1,1.30e+05
400.00,367.88,1,1.30e+05
400.00,348.16,1,1.30e+05
400.00,330.05,1,1.30e+05
400.00,313.64,1,1.30e+05
400.00,298.99,1,1.30e+05
400.00,286.16,1,1.30e+05
400.00,275.21,1,1.30e+05
400.00,266.19,1,1.30e+05
400.00,259.13,1,1.30e+05
400.00,254.06,1,1.30e+05
400.00,251.02,1,1.30e+05
400.00,250.00,1,1.30e+05
400.00,251.02,1,1.30e+05
400.00,254.06,1,1.30e+05
400.00,259.13,1,1.30e+05
400.00,266.19,1,1.30e+05
400.00,275.21,1,1.30e+05
400.00,286.16,1,1.30e+05
400.00,298.99,1,1.30e+05
400.00,313.64,1,1.30e+05
400.00,330.05,1,1.30e+05
400.00,348.16,1,1.30e+05
400.00,367.88,1,1.30e+05
400.00,389.12,1,1.30e+05
400.00,411.81,1,1.30e+05
400.00,435.84,1,1.30e+05
400.00,461.10,1,1.30e+05
400.00,487.50,1,1.30e+05
400.00,514.91,1,1.30e+05
400.00,543.23,1,1.30e+05
400.00,572.32,1,1.30e+05
400.00,602.06,1,1.30e+05
400.00,632.33,1,1.30e+05
400.00,663.00,1,1.30e+05
400.00,693.93,1,1.30e+05
400.00,725.00,1,1.30e+05
400.00,756.07,1,1.30e+05
400.00,787.00,1,1.30e+05
400.00,817.67,1,1.30e+05
400.00,847.94,1,1.30e+05
400.00,877.68,2,1.30e+05
400.00,906.77,2,1.30e+05
400.00,935.09,2,1.30e+05
400.00,962.50,2,1.30e+05
400.00,988.90,2,1.30e+05
400.00,1014.16,2,1.30e+05
400.00,1038.19,2,1.30e+05
400.00,1060.88,2,1.30e+05
400.00,1082.12,2,1.30e+05
400.00,1101.84,2,1.30e+05
400.00,1119.95,2,1.30e+05
400.00,1136.36,2,1.30e+05
400.00,1151.01,2,1.30e+05
400.00,1163.84,2,1.30e+05
400.00,1174.79,2,1.30e+05
400.00,1183.81,2,1.30e+05
400.00,1190.87,2,1.30e+05
400.00,1195.94,2,1.30e+05
400.00,1198.98,2,1.30e+05
400.00,1200.00,2,1.30e+05
400.00,1198.98,2,1.30e+05
400.00,1195.94,2,1.30e+05
400.00,1190.87,2,1.30e+05
400.00,1183.81,2,1.30e+05
350.00,1174.79,0,1.33e+05
400.00,1163.84,2,1.33e+05
400.00,1151.01,2,1.33e+05
400.00,1136.36,2,1.33e+05
400.00,1119.95,2,1.33e+05
400.00,1101.84,2,1.33e+05
400.00,1082.12,2,1.33e+05
400.00,1060.88,2,1.33e+05
400.00,1038.19,2,1.33e+05
400.00,1014.16,2,1.33e+05
400.00,988.90,2,1.33e+05
400.00,962.50,2,1.33e+05
400.00,935.09,2,1.33e+05
400.00,906.77,2,1.33e+05
400.00,877.68,2,1.33e+05
400.00,847.94,1,1.33e+05
400.00,817.67,1,1.33e+05
400.00,787.00,1,1.33e+05
400.00,756.07,1,1.33e+05
400.00,725.00,1,1.33e+05
400.00,693.93,1,1.33e+05
400.00,663.00,1,1.33e+05
400.00,632.33,1,1.33e+05
400.00,602.06,1,1.33e+05
400.00,572.32,1,1.33e+05
400.00,543.23,1,1.33e+05
400.00,514.91,1,1.33e+05
400.00,487.50,1,1.33e+05
400.00,461.10,1,1.33e+05
