soc,lmp,a,total_rwd
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,2,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,1,0.00e+00
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,0,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,2,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,1,-4.91e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,0,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
0.00,0.00,1,-9.82e+03
