solar_reward,grid_reward,soc,curr_lmp,net_load,a,total_rwd
0.00,-1136.25,25.00,45.14,-25.00,2,-1.14e+03
0.00,-1128.50,50.00,44.15,-25.00,2,-2.26e+03
0.00,1103.75,25.00,33.45,25.00,0,-1.16e+03
0.00,-836.25,50.00,45.23,-25.00,2,-2.00e+03
0.00,1130.75,25.00,45.25,25.00,0,-8.66e+02
0.00,-1131.25,50.00,44.99,-25.00,2,-2.00e+03
0.00,1124.75,25.00,34.29,25.00,0,-8.73e+02
0.00,-857.25,50.00,44.44,-25.00,2,-1.73e+03
0.00,1111.00,25.00,41.59,25.00,0,-6.19e+02
0.00,-1039.75,50.00,43.93,-25.00,2,-1.66e+03
0.00,1098.25,25.00,38.38,25.00,0,-5.61e+02
0.00,-959.50,50.00,40.06,-25.00,2,-1.52e+03
0.00,1001.50,25.00,46.71,25.00,0,-5.19e+02
0.00,-1167.75,50.00,50.51,-25.00,2,-1.69e+03
0.00,1262.75,25.00,51.97,25.00,0,-4.24e+02
0.00,1299.25,0.00,45.92,25.00,0,8.76e+02
0.00,-1148.00,25.00,61.02,-25.00,2,-2.72e+02
0.00,1525.50,0.00,70.74,25.00,0,1.25e+03
0.00,0.00,0.00,70.65,0.00,0,1.25e+03
0.00,0.00,0.00,74.36,0.00,0,1.25e+03
0.87,0.00,0.00,76.27,0.02,0,1.25e+03
0.89,0.00,0.00,85.83,0.02,0,1.25e+03
1.00,0.00,0.00,77.71,0.02,0,1.26e+03
0.91,0.00,0.00,83.68,0.02,0,1.26e+03
368.22,0.00,0.00,76.87,8.80,0,1.62e+03
338.25,0.00,0.00,55.29,8.80,0,1.96e+03
243.29,0.00,0.00,31.71,8.80,0,2.21e+03
139.53,0.00,0.00,44.76,8.80,0,2.35e+03
522.80,0.00,0.00,19.69,23.36,0,2.87e+03
229.98,0.00,0.00,9.76,23.36,0,3.10e+03
114.00,0.00,0.00,-0.01,23.36,0,3.21e+03
-0.12,-0.00,0.00,0.48,23.36,0,3.21e+03
6.02,0.00,0.00,-0.27,25.07,0,3.22e+03
-3.38,-0.00,0.00,-2.49,25.07,0,3.22e+03
-31.21,-0.00,0.00,-10.99,25.07,0,3.18e+03
-137.77,-0.00,0.00,-7.47,25.07,1,3.05e+03
-0.00,107.92,25.00,-10.84,-14.45,2,3.15e+03
-0.00,156.60,50.00,-15.30,-14.45,2,3.31e+03
-0.00,221.04,75.00,-16.66,-14.45,2,3.53e+03
-0.00,240.69,100.00,-16.36,-14.45,2,3.77e+03
-0.00,249.03,125.00,-17.89,-15.22,2,4.02e+03
-0.00,272.32,150.00,-19.25,-15.22,2,4.29e+03
-0.00,293.02,175.00,-19.58,-15.22,2,4.59e+03
-0.00,298.04,200.00,-19.66,-15.22,2,4.88e+03
-0.00,307.06,225.00,-19.65,-15.62,2,5.19e+03
-0.00,306.90,250.00,-23.55,-15.62,2,5.50e+03
-0.00,367.81,275.00,-30.82,-15.62,2,5.87e+03
-0.00,481.36,300.00,-30.75,-15.62,2,6.35e+03
-0.00,507.92,325.00,-31.39,-16.52,2,6.86e+03
-0.00,518.50,350.00,-33.09,-16.52,2,7.37e+03
-0.00,546.58,375.00,-40.51,-16.52,2,7.92e+03
-0.00,669.14,400.00,-30.79,-16.52,2,8.59e+03
-251.59,0.00,400.00,-31.42,16.34,2,8.34e+03
-256.74,0.00,400.00,-30.98,16.34,2,8.08e+03
-253.14,0.00,400.00,-40.56,16.34,2,7.83e+03
-331.42,0.00,400.00,-33.43,16.34,2,7.50e+03
-266.93,0.00,400.00,-29.01,15.97,2,7.23e+03
-231.63,0.00,400.00,-24.55,15.97,2,7.00e+03
-196.02,0.00,400.00,-27.67,15.97,2,6.80e+03
-220.93,0.00,400.00,-23.63,15.97,2,6.58e+03
-166.64,0.00,400.00,-19.99,14.10,2,6.42e+03
-140.97,0.00,400.00,-18.71,14.10,2,6.27e+03
-131.94,0.00,400.00,-15.67,14.10,2,6.14e+03
-110.51,0.00,400.00,-15.21,14.10,2,6.03e+03
-96.48,0.00,400.00,-2.86,12.69,2,5.94e+03
-18.14,0.00,400.00,0.26,12.69,2,5.92e+03
1.65,-0.00,400.00,38.19,12.69,2,5.92e+03
242.24,-0.00,400.00,24.43,12.69,2,6.16e+03
46.34,-0.00,400.00,37.13,3.79,2,6.21e+03
70.43,-0.00,400.00,59.06,3.79,2,6.28e+03
112.03,-0.00,400.00,79.23,3.79,2,6.39e+03
150.29,-0.00,400.00,77.01,3.79,2,6.54e+03
0.49,1925.25,375.00,80.43,25.01,0,8.47e+03
0.52,2010.75,350.00,85.79,25.01,0,1.05e+04
0.55,2144.75,325.00,91.69,25.01,0,1.26e+04
0.59,2292.25,300.00,105.44,25.01,0,1.49e+04
0.00,2636.00,275.00,93.34,25.00,0,1.76e+04
0.00,2333.50,250.00,88.78,25.00,0,1.99e+04
0.00,2219.50,225.00,72.48,25.00,0,2.21e+04
0.00,1812.00,200.00,78.71,25.00,0,2.39e+04
0.00,1967.75,175.00,71.53,25.00,0,2.59e+04
0.00,1788.25,150.00,66.24,25.00,0,2.77e+04
0.00,1656.00,125.00,55.72,25.00,0,2.93e+04
0.00,1393.00,100.00,73.56,25.00,0,3.07e+04
0.00,1839.00,75.00,69.95,25.00,0,3.26e+04
0.00,1748.75,50.00,64.32,25.00,0,3.43e+04
0.00,1608.00,25.00,53.06,25.00,0,3.59e+04
0.00,-1326.50,50.00,70.18,-25.00,2,3.46e+04
0.00,1754.50,25.00,62.14,25.00,0,3.63e+04
0.00,-1553.50,50.00,59.19,-25.00,2,3.48e+04
0.00,1479.75,25.00,54.77,25.00,0,3.63e+04
0.00,-1369.25,50.00,68.92,-25.00,2,3.49e+04
0.00,1723.00,25.00,68.30,25.00,0,3.66e+04
0.00,-1707.50,50.00,67.70,-25.00,2,3.49e+04
0.00,1692.50,25.00,53.02,25.00,0,3.66e+04
0.00,-1325.50,50.00,61.90,-25.00,2,3.53e+04
0.00,1547.50,25.00,64.70,25.00,0,3.68e+04
0.00,-1617.50,50.00,64.70,-25.00,2,3.52e+04
0.00,1617.50,25.00,53.90,25.00,0,3.68e+04
0.00,-1347.50,50.00,64.64,-25.00,2,3.55e+04
0.00,1616.00,25.00,64.64,25.00,0,3.71e+04
0.00,-1616.00,50.00,66.81,-25.00,2,3.55e+04
0.00,1670.25,25.00,54.65,25.00,0,3.72e+04
0.00,-1366.25,50.00,63.66,-25.00,2,3.58e+04
0.00,1591.50,25.00,67.14,25.00,0,3.74e+04
0.00,-1678.50,50.00,67.21,-25.00,2,3.57e+04
0.00,1680.25,25.00,62.08,25.00,0,3.74e+04
0.00,-1552.00,50.00,57.87,-25.00,2,3.58e+04
0.00,1446.75,25.00,67.38,25.00,0,3.73e+04
